Station Name,Port Number,Latitude,Longitude,Id,Total Duration (min),Charging Time (min)
PALO ALTO CA / BRYANT # 1,1.0,37.44665,-122.16192,256630.38461538462,169.03717948717951,96.98974358974358
PALO ALTO CA / BRYANT #1,1.9657301636307503,37.44661318277246,-122.16230807347948,163705.04167953072,154.2720798600391,123.13627662858907
PALO ALTO CA / BRYANT #2,1.9677787282577701,37.44651002936983,-122.16214004847447,164047.73139435414,145.19852200361183,117.27648512498813
PALO ALTO CA / BRYANT #3,1.9819444444444445,37.446583,-122.16210999999998,168003.80381944444,142.25721064814815,120.75093171296297
PALO ALTO CA / BRYANT #4,1.5230683713173985,37.446785,-122.16237,190672.34852695942,145.29704465443766,128.63690012970167
PALO ALTO CA / BRYANT #5,1.5307576894223556,37.44669,-122.16223,189617.8985371343,133.90601400350087,117.40360715178795
PALO ALTO CA / BRYANT #6,1.5250128051903704,37.446667,-122.16217,191903.94673040806,141.42022650958967,121.93889078595413
PALO ALTO CA / CAMBRIDGE #1,1.4932555596062704,37.426155,-122.146065,175965.55839105602,131.04010612873174,109.38264066107668
PALO ALTO CA / CAMBRIDGE #2,1.4620431115276475,37.42618,-122.146065,166651.58559825056,134.05047641362074,112.14249973966469
PALO ALTO CA / CAMBRIDGE #3,1.5160857908847185,37.42621,-122.14601,214547.67202859695,108.43618930592791,95.2383564194221
PALO ALTO CA / CAMBRIDGE #4,1.4789964994165694,37.426178,-122.146034,211327.5396732789,107.67887495138079,92.41691462465967
PALO ALTO CA / CAMBRIDGE #5,1.5344600526777876,37.426228,-122.14598,214325.43217734856,118.1914764413228,99.38268949370793
PALO ALTO CA / HAMILTON #1,1.996751385438563,37.44449,-122.16037,175018.27575004776,134.95569781514746,114.78486527804318
PALO ALTO CA / HAMILTON #2,1.503189401373896,37.444638231763165,-122.16024173797841,180779.08325155382,134.5192113728056,116.02335350561553
PALO ALTO CA / HIGH #1,1.4970873786407768,37.44334086601942,-122.16299350809061,172190.9718446602,132.19257551240563,113.14433117583603
PALO ALTO CA / HIGH #2,1.540981240981241,37.44327657142857,-122.1631584848485,174699.3784992785,138.3693265993266,115.8288961038961
PALO ALTO CA / HIGH #3,1.507755200192377,37.44334653204281,-122.16310641938199,180350.64001442827,131.44243517293896,111.63382229169171
PALO ALTO CA / HIGH #4,1.52221769262128,37.443248479412965,-122.16316100489196,178231.44333469222,131.4781220274494,114.83171966299768
PALO ALTO CA / MPL #1,1.0,37.422146,-122.11251,136927.97228637413,180.1123556581986,110.1349884526559
PALO ALTO CA / MPL #2,1.0,37.42217,-122.11247999999999,140429.06666666668,177.5345045045045,120.80042042042042
PALO ALTO CA / MPL #3,1.0,37.42212,-122.11256,135337.7636080871,176.7691809227579,112.77490927941938
PALO ALTO CA / MPL #4,1.0,37.422104,-122.11351,175943.7983014862,142.91745576786977,118.68732484076435
PALO ALTO CA / MPL #5,1.0,37.42211996012615,-122.11348766163552,171803.65938274385,133.6260231283322,109.72978148231584
