"Name","model_name","ID","Notes","State","censor_dynamic","censor_level","censored","covariates","forecast_lead","hidden_dim","learning_rate","log_every_n_steps","logger","loss","max_epochs","max_steps","mode","move_metrics_to_cpu","multiple_trainloader_mode","no_self_loops","num_nodes","num_sanity_val_steps","overfit_batches","precision","reload_dataloaders_every_n_epochs","replace_sampler_ddp","save_predictions","sequence_length","sync_batchnorm","test_end","track_grad_norm","train_end","train_start","val_end","weight_decay","cluster","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse"
"sunny-shape-467","AR","oe2vq7vu","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","WEBSTER","30","1.1180719137191772","0.01383528672158718","1.0913794040679932","2.201864242553711","1.396599292755127","1.045014262199402","-0.6504700183868408","1.2294963598251345","2.698925256729126","1.60132098197937","28410","1.0538700819015503","-0.15073847770690918","1.1369510889053345","2.4076273441314697","1.4422557353973389"
"hearty-darkness-466","AR","3mho8smr","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HIGH","30","1.4532495737075806","-0.07826118916273117","1.3391389846801758","3.423575639724731","1.7051571607589722","1.3783550262451172","-0.5780393481254578","1.3010540008544922","3.4341344833374023","1.7924355268478394","28410","1.440143346786499","-0.1514531970024109","1.2920379638671875","3.202489137649536","1.6500508785247805"
"warm-vortex-465","AR","defxmart","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","TED","30","1.2846931219100952","0.17726796865463257","0.922950565814972","1.560871958732605","1.16326904296875","1.0345196723937988","0.7428839802742004","0.7211503982543945","1.0031899213790894","0.9632314443588256","28410","1.218802571296692","0.11158282309770584","0.9531304240226746","1.7801436185836792","1.224745512008667"
"silvery-breeze-464","AR","ovdaik39","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HAMILTON","30","0.6173292994499207","0.7327443361282349","1.1506086587905884","2.409877061843872","1.4796360731124878","0.6442931294441223","0.6935465931892395","1.05594003200531","2.087340831756592","1.3988003730773926","28410","0.6672232151031494","0.7658835053443909","1.1499764919281006","2.4046130180358887","1.4595214128494265"
"comfy-wildflower-463","AR","1utdj29a","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","RINCONADA","30","0.9961544275283812","0.9397687315940856","0.7747350335121155","0.8809921741485596","0.9068344831466676","0.8754486441612244","0.7979753017425537","0.7469645142555237","0.8598666191101074","0.9121944904327391","28410","1.039393186569214","0.9866803884506226","0.7760679125785828","0.8876758217811584","0.903217613697052"
"generous-galaxy-462","AR","c2hinyvc","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","CAMBRIDGE","30","1.877384901046753","-0.2103632390499115","1.9781389236450195","9.958216667175291","2.7704896926879883","1.0483075380325315","0.38712528347969055","1.108054757118225","2.0750668048858643","1.4166641235351562","28410","1.7609601020812988","0.184530109167099","1.7441399097442627","7.771011829376221","2.3881466388702393"
"lively-monkey-461","AR","7id53v61","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","MPL","30","0.909119725227356","0.8358954191207886","0.749700129032135","0.7910436391830444","0.8691867589950562","1.0440781116485596","0.4704538583755493","0.9095138907432556","1.403539538383484","1.1612387895584106","28410","0.9061364531517028","0.8322653770446777","0.7335683107376099","0.7553229928016663","0.8490723967552185"
"volcanic-serenity-460","AR","dkolacdc","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","BRYANT","30","1.4832603931427002","-0.48777836561203","1.3805694580078125","3.9052212238311768","1.8160260915756223","1.3809716701507568","-0.23402483761310575","1.1419789791107178","2.66503643989563","1.5934675931930542","28410","1.4678256511688232","-0.732923150062561","1.4378124475479126","4.388827800750732","1.904581904411316"
"helpful-wildflower-459","AR","26trdz70","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","WEBSTER","30","1.1704623699188232","0.10484302788972856","1.2836347818374634","2.9984264373779297","1.6224713325500488","1.049232006072998","-0.6357711553573608","1.2638744115829468","2.9095571041107178","1.6473488807678225","28410","1.1066948175430298","-0.04285746067762375","1.3678793907165527","3.491429567337036","1.729891657829285"
"lilac-totem-458","AR","lt1ob41m","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HIGH","30","1.381494402885437","-0.17416062951087952","1.167117953300476","2.4482202529907227","1.4798901081085205","1.3779460191726685","-0.5777939558029175","1.3006874322891235","3.3986003398895264","1.7847522497177124","28410","1.3930798768997192","-0.2182188332080841","1.1647387742996216","2.483281373977661","1.4801812171936035"
"glowing-thunder-457","AR","jdhgpmhb","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","TED","30","1.3703747987747192","0.2823815941810608","1.1573724746704102","2.633469820022583","1.477841854095459","1.0343748331069946","0.742298424243927","0.7195874452590942","0.9918977618217468","0.959460973739624","28410","1.3339922428131104","0.2520320415496826","1.233869552612305","3.1789937019348145","1.5921258926391602"
"snowy-sun-456","AR","lcqce5fr","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HAMILTON","30","0.6182761788368225","0.7863059043884277","1.2607675790786743","3.0743319988250732","1.67857825756073","0.6444880366325378","0.6952580213546753","1.0597052574157717","2.118771553039551","1.407831072807312","28410","0.6709052324295044","0.8136416673660278","1.2427263259887695","2.963596820831299","1.6281750202178955"
"amber-forest-455","AR","7c788i4s","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","RINCONADA","30","0.9981053471565248","0.9409447312355042","0.7754730582237244","0.872272253036499","0.90428626537323","0.8757743835449219","0.8001300096511841","0.7525649666786194","0.8732321262359619","0.9196107387542723","28410","1.039870262145996","0.986852765083313","0.7732319831848145","0.8813908100128174","0.9013599157333374"
"amber-resonance-454","AR","49edm1no","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","CAMBRIDGE","30","1.6355011463165283","-0.5069947242736816","1.2703330516815186","3.1471574306488037","1.6673957109451294","1.0534034967422483","0.39320188760757446","1.1164993047714231","2.1465542316436768","1.4342950582504272","28410","1.522729516029358","-0.07628797739744186","1.1757208108901978","2.79426908493042","1.539827823638916"
